SCAN 35 30
SCAN 25 82
SCAN 90 60
SCAN 96 29
SCAN 81 97
SCAN 13 98
SCAN 4 23
SCAN 68 23
SCAN 53 62
SCAN 98 41
SCAN 73 57
SCAN 67 80
SCAN 23 56
SCAN 13 6
SCAN 37 50
SCAN 66 61
SCAN 86 44
SCAN 73 26
SCAN 90 16
SCAN 0 50
SCAN 25 30
SCAN 44 64
SCAN 63 55
SCAN 1 100
SCAN 100 33
SCAN 65 36
SCAN 89 76
SCAN 97 48
SCAN 42 80
SCAN 25 83
SCAN 103 14
SCAN 35 56
SCAN 45 3
SCAN 85 65
INSERT 660826790304332879
SCAN 86 42
SCAN 103 31
SCAN 17 9
SCAN 34 61
SCAN 84 56
SCAN 48 52
SCAN 60 24
SCAN 74 35
SCAN 103 21
INSERT 1136598238948804796
SCAN 57 53
SCAN 90 71
SCAN 29 49
INSERT 5196765620627875066
SCAN 11 55
SCAN 96 54
SCAN 55 94
INSERT 3052541914482217008
SCAN 35 23
SCAN 30 85
SCAN 25 66
SCAN 65 1
SCAN 24 20
SCAN 77 65
SCAN 74 83
SCAN 4 98
SCAN 52 30
SCAN 73 13
SCAN 95 46
SCAN 16 21
SCAN 59 84
SCAN 26 83
SCAN 81 76
SCAN 67 16
SCAN 7 33
INSERT 9217675952134034911
SCAN 12 21
SCAN 102 57
SCAN 46 29
SCAN 97 83
SCAN 95 76
SCAN 88 59
SCAN 23 55
SCAN 29 36
SCAN 88 53
SCAN 86 26
SCAN 76 69
SCAN 7 43
SCAN 22 30
SCAN 47 17
SCAN 87 16
SCAN 37 32
SCAN 22 40
SCAN 75 15
INSERT 6945368318112987829
SCAN 101 16
SCAN 33 35
SCAN 97 6
SCAN 55 15
SCAN 87 51
SCAN 60 98
SCAN 72 28
SCAN 91 61
SCAN 44 76
SCAN 85 84
